PuzzleId	FEN	Moves	Rating	correct_answer	timed_out	time_elapsed
KtZ2m	5rk1/r4ppp/1b6/3R4/7P/5P2/NPP3P1/1K5R w - - 1 26	a2c3 f8a8 b2b4 a7a1 b1b2 a1h1	1504			
PrasS	3rr1k1/pp1n1ppp/3q1p2/8/3N4/2PQ4/P3RPPP/1R4K1 w - - 0 21	b1b7 d7c5 d3c4 c5b7	1496			
jS7yK	3br1k1/3q2pp/1p2P3/p7/P2p1Q2/BP1P2PP/2r3BK/5R2 b - - 0 28	d7e6 f4f8 e8f8 f1f8	1477			
PdsWe	3r2k1/q2r3p/p1RBp1p1/1p2Pp2/2nP1P2/8/3Q2PP/R6K w - - 7 29	c6a6 a7a6 a1a6 c4d2	1453			
6bpnB	r6k/pp2Q1pp/3N1p2/2p5/3p1P1B/2nq4/P5PP/R5K1 b - - 0 26	c3e2 g1h1	1538			
6iUNz	2krr3/ppqn1pp1/2p1pn1p/4N2P/2PP4/6N1/PP1Q1PP1/2KRR3 b - - 6 17	c6c5 e5f7 d7b8 f7d8	1508			
JRdDg	7r/pNr1kppp/1p2pn2/4N3/3R4/5P2/1K4PP/3R4 b - - 0 21	c7b7 e5c6 e7f8 d4d8 f6e8 d8e8 f8e8 d1d8	1481			
dLsif	rn3rk1/ppp3pp/8/5p2/5n2/1P3Pq1/PB1PBN2/R2Q1R1K w - - 4 18	f1g1 g3h4 f2h3 h4h3	1536			
Xjn3d	1r3rk1/p1q1bppp/2p1bn2/3p2B1/B2P4/2N5/PPP1QPPP/R3R1K1 w - - 2 16	b2b3 f6g4 e2g4 e6g4	1522			
tLImC	4rq1k/2R1nrpp/Q7/1p3p2/8/8/PP4PP/4R1K1 b - - 0 25	e7d5 e1e8 d5c7 e8f8	1521			
l04HN	8/p2N2k1/2P1p3/1p3p1p/4r3/8/r7/2R4K b - - 0 50	e4c4 c1c4 b5c4 c6c7	1549			
k4ZTb	2k4r/pp5p/6p1/2bp4/5B2/1P3P2/1P4PP/R6K b - - 0 21	a7a6 a1c1 b7b6 b3b4 c8b7 b4c5	1546			
BpKz8	8/8/8/pp1pkp2/8/P2KN3/5PP1/8 w - - 0 43	d3c3 d5d4 c3d2 d4e3	1454			
pT9CJ	1k6/1pp5/pq6/4p3/R3P1PQ/1PNP3P/1PP2r1K/8 w - - 1 30	h2g3 b6e3	1500			
TPyEm	4rrk1/pp6/2ppp2q/5p2/3P2R1/4QN2/PPP2P2/2K5 b - - 4 27	g8h7 g4h4 h6h4 f3h4	1539			
WVRyK	2rr2k1/1q2b1pp/p4p2/1pN1p3/1P3n2/P4N1P/1BP2PP1/2RQR1K1 b - - 0 21	d8d1 c5b7	1497			
FTx0h	r2qk2r/ppp2ppp/2n1p3/3BPb2/3P4/b1P2N2/PP4PP/R1BQ1RK1 b kq - 0 11	a3b2 d5c6 b7c6 c1b2	1466			
t78RJ	1nq5/Q1p3k1/2Pp4/N2Pp3/3n2p1/3BK1P1/7P/8 b - - 6 36	b8c6 a5c6 d4c6 d5c6	1460			
O0ZzZ	8/8/p2B2k1/3p4/4b1P1/1P1pPr1P/P2R1K2/8 w - - 0 35	f2g2 f3f6 g2g3 f6d6	1460			
1PmL0	r2qk2r/1b2ppb1/p1pp1npp/8/4P3/2N1B1P1/PPP1QPBP/R4RK1 b kq - 1 12	c6c5 e4e5 b7g2 e5f6 g7f6 g1g2	1500			
lfT10	3r1bk1/1pp2pp1/p6p/1q2pP1N/2P3Q1/1P2R2P/1P3PP1/6K1 b - - 0 29	b5d7 h5f6 g8h8 f6d7	1515			
fJhsj	6k1/7p/4p1p1/p1P1Pp2/Pr1r4/8/6PP/2R1R1K1 b - - 0 35	b4a4 c5c6 a4c4 c6c7	1467			
aJjo5	r1b2rk1/1p3ppp/pqnNpn2/8/3P4/1N6/PP2BPPP/R2Q1RK1 b - - 3 14	c6d4 d1d4 b6d4 b3d4	1501			
Av5l6	1n3r2/4q1k1/r3b1pp/pQ2P3/1bp5/4BB2/1P3PPP/R4RK1 b - - 2 21	f8f5 b5b8 f5f3 g2f3	1533			
qjNdk	6k1/1p4p1/4p1QB/p7/1q1P3P/2K5/P7/8 w - - 4 32	c3d3 b4b1 d3c3 b1g6	1541			
uSE6R	2r5/p7/3p1nk1/3P1p2/2P2K1P/2R2B2/P1P5/8 w - - 3 40	f3e2 f6d5 c4d5 c8c3	1482			
Wbm6Z	r4Bk1/ppp2pp1/1q5p/3p4/P2Pn3/5b2/2Q2PPP/R3R1K1 w - - 0 22	g2f3 b6g6 g1f1 e4g3 h2g3 g6c2	1514			
CDodR	1r4k1/p4pp1/b4q1p/8/2P5/Q3pP2/PPRrB1PP/1R4K1 w - - 10 28	a3c3 f6c3 c2c3 d2e2	1470			
fqGR8	8/p2k4/P3p3/2P2b2/3N1P2/6Kp/8/8 b - - 4 53	d7c7 d4f5 h3h2 g3h2	1457			
mMk6M	1r6/6p1/P6p/1p2kp2/2bp3P/5BP1/5P1K/1R6 b - - 2 36	c4d5 a6a7 b8a8 b1b5	1500			
LHfYh	r7/4qp2/6pk/2pP3N/P7/1r5P/3Q1PP1/6K1 b - - 6 31	h6h5 g2g4 h5h4 d2h6	1486			
FvncM	2r2rk1/1Q2b1pp/p1b1qp2/4p3/6P1/1P5P/PB3PB1/3RR1K1 w - - 8 24	g2d5 e6d5 d1d5 c6b7 d5d7 e7b4	1542			
MTqSp	r2qkb1r/pp1bnppp/2n1p3/1B4B1/3PN3/5N2/PP3PPP/R2QK2R b KQkq - 0 9	f7f6 e4d6	1472			
iRjQE	2r2rk1/1pqb4/p3p1p1/3p1nPB/5P2/P1N5/1PnB3Q/R2K3R b - - 1 26	c2a1 h5g6	1493			
pXdQV	rnb1k1r1/pp3p2/2p2p2/4pq2/1PBP1B1p/2P2Q1P/P4PP1/R3K2R w KQq - 0 14	c4d3 f5f4 f3f4 e5f4	1507			
430eD	r5k1/2q2pp1/p3p2p/1pP5/1P2b3/4P2P/1Q2BPP1/R5K1 w - - 1 24	e2b5 a6b5 a1a8 e4a8	1461			
mkyvR	r5k1/p1p2ppp/b1p2q2/3p4/1P1Q1B1n/1NP2P2/P6r/R2R3K w - - 0 20	f4h2 f6f3 h1g1 f3g2	1500			
TaDVc	r4rk1/2p2pp1/2n2n1p/1pq1p2b/4P3/PQP1R1NP/B4PPN/R5K1 b - - 2 22	a8a3 b3a3 c5a3 a2f7 h5f7 a1a3	1525			
xb02B	3r1rk1/pp2qppp/3p4/2pQn3/2B1P3/1P3N2/P2R1PPP/5RK1 w - - 3 18	f3e5 d6e5 f1d1 d8d5	1497			
x9P30	r4rk1/ppq1p2p/2ppP1pQ/5p2/5P2/2PR4/P4P1P/bN4K1 b - - 0 20	f8f6 d3h3 f6f7 e6f7 g8f7 h6h7	1477			
HBk4V	1r6/6k1/pP3pPp/P2B4/8/3p4/4pbPP/R3R2K w - - 2 43	d5c4 f2e1 c4d3 e1c3 d3e2 c3a1	1506			
3h9sx	3r4/ppp2pkp/4nQ2/4p3/4P1N1/2P3P1/Pr5P/6K1 b - - 0 25	g7g8 g4h6 g8f8 f6f7	1472			
BbnD5	1kb5/p6p/1p6/4K1p1/8/2RB1PP1/7r/8 b - - 2 32	h2h3 c3c8 b8c8 d3f5 c8d8 f5h3	1464			
TxXN3	6k1/1p3r2/3PN2p/p1P3p1/8/6P1/P4p1P/5K2 b - - 0 36	a5a4 e6d8 g8f8 d8f7	1517			
XPQMZ	3r2k1/p6p/8/p1pr1Bp1/2b3P1/2P1B3/1P1n3P/R3R2K b - - 0 30	d5e5 e3d2 e5f5 g4f5	1496			
Hkee5	r3k2r/ppqnbpp1/4pn1p/3p4/3P4/2N2NB1/PPP2PPP/R2Q1RK1 b kq - 5 11	e7d6 c3b5 d6g3 b5c7	1502			
jV7Xj	r2q1rk1/3nbpp1/7p/1pn5/1p1Q4/P4N1P/B1P2PP1/R1B2RK1 w - - 0 20	a3b4 e7f6 a2f7 f8f7 a1a8 d8a8	1538			
ikdDT	R7/4rkb1/4pR2/1q2P3/2p1Q1Pp/7P/8/7K b - - 3 47	g7f6 e4h7 f6g7 h7h5	1500			
X0REO	8/4k3/1R1n2K1/1p3P2/8/1r6/8/8 b - - 0 59	d6f5 g6f5	1474			
pAGcQ	r1b1k2r/pp1p1ppp/1qn1pb2/6NQ/8/2Nn2B1/PP4PP/R4R1K b kq - 1 17	f6g5 h5f7 e8d8 f7g7 h8e8 g7g5	1473			
AnsRh	5rk1/pp6/4pr2/2Pp1n2/PP4P1/2P2R1p/3N2K1/5R2 w - - 0 31	g2h3 f6h6 h3g2 f5h4 g2g3 h4f3	1513			
VzwCJ	2rr3k/Q2n1pp1/1p1bpq1p/8/5P2/P2BP3/1P3P1P/1RB2R1K w - - 1 21	a7b7 d7c5 b7c8 d8c8	1465			
Z6CjM	3r4/4kp1p/p1prbnp1/Pp2p3/4PP2/1P1B3P/2P1N1PK/R4R2 b - - 0 21	e5f4 e4e5 f6g4 h3g4	1549			
e5X7o	2kr3r/pppq1p1p/6p1/8/1b1n1B2/2NP2Q1/PPP2PPP/2R2RK1 w - - 4 15	f4e5 b4c3 b2c3 d4e2	1499			
NxSjo	r3k1nr/p1p1qppp/8/2p5/3p4/5Q1P/PPPK1PP1/RN5R b kq - 1 12	a8d8 h1e1 e7e1 d2e1	1469			
V3Tao	r1b1k1nr/pp1pppbp/2q3p1/8/4P3/2N1B3/PPP2PPP/R2QKB1R w KQkq - 0 8	f1b5 g7c3 b2c3 c6b5	1454			
TRzDT	r3kb1r/pp3ppp/4p1n1/1Q1pnP2/8/q1N4P/P3B1P1/R4R1K b kq - 1 17	e5c6 b5b7 a8b8 b7c6	1526			
XTSqi	5r1k/1pp4p/3p4/p2P1pR1/1rPPPp2/1NK2P1P/Pn6/7R b - - 4 30	b2c4 b3a5 b4a4 a5c4	1542			
p8ke5	8/2Q5/p4pk1/2b1p1p1/8/2q3BP/P4PP1/6K1 w - - 4 33	a2a4 c5f2 g3f2 c3c7	1452			
RddHA	8/1pk3Q1/p1q5/8/5p2/P1PN1r2/1PK5/8 b - - 5 58	c6d7 g7d7 c7d7 d3e5 d7d6 e5f3	1451			
RMhTt	r3r1k1/pR3pbp/6p1/8/2B5/8/5PPP/5RK1 b - - 0 24	a7a5 c4f7 g8h8 f7e8	1539			
dOisY	r1bqk2r/ppp2ppp/3p1nn1/3Pp3/1bP1P3/2NB1N2/PP3PPP/R1BQ1RK1 b kq - 1 8	h7h6 d1a4 c8d7 a4b4	1500			
JnMKM	8/8/p2k3p/1p1p2pP/1P1K2P1/P1P5/8/8 w - - 3 46	d4e3 d6e5 e3f3 d5d4 c3c4 b5c4	1458			
quzZM	4r1r1/1n2P3/1kb2Q2/p3R2p/1n6/5P2/Pq2B1PP/3R2K1 b - - 4 39	b6a7 e5a5 b7a5 f6b2	1477			
S4yPZ	r3r1k1/pp3p2/3p2p1/2pq2b1/2B5/1KP4Q/PP3P2/7R b - - 1 24	d5e5 h3h7 g8f8 h7f7	1463			
JEoDN	rn2k1nr/ppB1ppbp/2p3p1/8/2Pq4/2N2Q1P/PP3PP1/R3KB1R b KQkq - 1 10	g8f6 a1d1 d4d7 d1d7	1486			
lu5vJ	2r4r/5pkp/p3pNpR/3nP1P1/1p6/8/P7/1K5R b - - 3 36	c8c3 h6h7 h8h7 h1h7 g7f8 h7h8 f8e7 h8e8	1521			
SXcvK	8/pPk3q1/4b3/1Q1p1pb1/P2Pp2r/4n3/1B1N2B1/R5K1 b - - 1 31	g5f4 b7b8q	1523			
TK082	8/5R2/6kp/p5p1/P1Bn2P1/2N3KP/1P3P2/4r3 w - - 1 40	f7d7 e1g1 g3h2 d4f3	1485			
LxN6C	3r4/8/8/1P1n4/2K1k3/P4R1P/5P2/8 w - - 3 51	f3b3 d8c8	1538			
PvSiQ	8/1pp2R2/p1k3r1/8/R7/1KP5/P2r4/8 b - - 13 42	b7b5 a4a6 c6d5 a6g6	1453			
DjBqT	8/8/6k1/P3R1pp/8/4PpKP/r5P1/8 w - - 0 38	g2f3 h5h4 g3g4 a2g2	1464			
o0rRX	2k5/pp4Rp/2pK2b1/1rP5/8/8/8/8 b - - 7 49	a7a5 g7g8 g6e8 g8e8	1496			
53gic	r1b1kb1r/ppp5/q7/P2N1pp1/4p2p/2P1PnPP/2QP1PB1/R1B2R1K b kq - 1 16	g5g4 d5c7 e8f7 c7a6	1453			
JXN17	2r1q3/6kp/p2p2p1/2pPb1N1/8/7P/P3QRP1/6K1 b - - 0 34	c8c7 g5e6 g7g8 e6c7	1518			
aMiP2	3r1r1k/1pp1q2p/p4PB1/7Q/8/1P5P/P3n1P1/3RR1K1 w - - 1 31	h5e2 e7e2 e1e2 d8d1	1546			
nwUic	r1bq1rk1/4pn1p/3p1p2/1p1P3Q/4B2P/PPN3P1/5P2/4R1K1 b - - 4 26	h7h6 h5g6 g8h8 g6h7	1480			
Sn3iy	2k3r1/pp1n1p2/2p1pp1p/8/2BP3P/5bq1/PPP3Q1/R4R1K w - - 0 22	g2f3 g3h4 f3h3 h4h3	1508			
yBy3Q	2r5/pbq3kp/1pn1rpp1/1P6/8/2QPP1P1/5PBP/1RR3K1 b - - 0 25	c7d7 b5c6 e6c6 g2c6	1527			
YsmiU	8/2Pk4/5p2/6p1/4P2p/3K1nB1/7P/8 w - - 0 47	d3e3 h4g3 e3f3 g3h2 c7c8q d7c8	1483			
wRrCV	2b2r1k/1ppp2p1/7r/p2P2q1/2Q2p2/P7/1PPB1PP1/4RRK1 w - - 6 22	d2f4 f8f4 e1e8 h8h7	1452			
JPY4D	8/p7/6b1/3p1p2/5k1Q/4b3/PPP3q1/1K5R b - - 6 39	g2g4 h1f1 f4e5 h4e7	1489			
v5eXW	4q3/p5k1/1pp2p2/3p3p/1N1P2p1/P1Q2NP1/1PP1rPP1/6K1 w - - 0 30	f3h2 e2e1 h2f1 e8e2 c3e1 e2e1	1484			
K0jHj	2k2r2/ppp5/5qpQ/4R2p/2bP4/2Pr1pP1/PP3P1P/R5K1 b - - 4 30	c7c5 e5c5 c8b8 c5c4	1529			
EMZK8	7k/pb4pp/2q5/1nP1P3/4pQ1P/5rP1/1B6/2R1R1K1 w - - 4 36	f4g5 h7h6 g5d8 h8h7	1500			
g5UqY	7k/5R1p/3p4/p3bNP1/n6P/8/8/1r3B1K b - - 1 42	h8g8 f5h6 g8h8 f7f8 h8g7 f8g8	1540			
EhOOq	r2q4/2p2pkp/p1pprbpN/6Bn/4P1P1/3P1Q2/PPP4P/R4RK1 b - - 0 19	f6d4 g5e3 d4e3 f3e3	1484			
RzPba	1r4k1/6pp/p3p1n1/3b4/2p1N1Q1/8/3q1PPP/5RK1 b - - 3 27	b8f8 e4d2	1470			
mpquS	rr4k1/pQ4pp/2pb1q2/3p4/8/4P3/PPPN1PPP/R4RK1 w - - 3 15	b7c6 d6h2 g1h2 f6c6	1455			
ZLGAy	5r1k/5p1p/2Np2p1/1r2p3/1P2n3/P3P3/6PP/R4RK1 b - - 1 29	f8c8 c6a7 b5b8 a7c8	1494			
BcTct	3r1k2/5pbp/2B3p1/2pP4/1qQ5/1Pn2N1P/P4PP1/2R3K1 w - - 3 23	a2a3 b4c4 b3c4 c3e2 g1f1 e2c1	1484			
aHFqN	1k1rr3/pp2R3/2p2p2/8/7p/3P1PbB/PPP1R3/3K4 b - - 3 29	g3e5 e7e8 d8e8 f3f4 e8f8 f4e5	1526			
pBxfp	2r1r1k1/p4ppp/bp1q1b2/3Np3/8/1Q3B2/PP3PPP/3RR1K1 w - - 0 21	d5b6 d6b6 b3b6 a7b6	1451			
gGoou	2qr1rk1/p3n1pp/1p2pp2/1PnpB3/P2N2Q1/4P2P/5PP1/2R2RK1 w - - 0 24	d4e6 c8e6 g4e6 c5e6	1510			
3cci5	1rr3k1/5ppp/2q1p3/p1p1P3/4Q1P1/PP5P/2P1R3/3R3K b - - 0 28	c5c4 d1d8 c8d8 e4c6	1518			
14mOt	r4rk1/pbqn1ppp/1p2p3/2b5/2N3n1/1P1BPN2/PB3PPP/2RQ1RK1 w - - 3 13	h2h3 b7f3 h3g4 f3d1	1487			
klsXl	7q/1k3pp1/p1p1p3/2Pp2n1/3P3r/8/PP2QPK1/R6R w - - 2 26	e2e3 h4g4 e3g3 g4g3	1471			
VPdtv	2r4N/1b1k4/p1n1p2p/qp1p2pQ/2nb4/1P4B1/P1B1NPPP/2KR3R w - - 6 26	e2d4 a5a3 c1b1 a3b2	1547			
2qbJN	8/2p2kpp/p1R5/3n4/8/P1B5/1Pr3PK/8 b - - 4 29	f7e7 c3f6 g7f6 c6c2	1485			
ezH0j	6k1/7p/2p3p1/p3bpq1/3p4/1P3Q1K/PNP2n1P/7R w - - 6 34	f3f2 g5g4	1522			
1RFLe	5rk1/2b2ppp/1p2pn2/1Q1p4/1P1P3B/4PP2/2q1N1PP/5RK1 b - - 6 20	h7h6 f1c1 c7h2 g1h2	1534			
KTbn9	3b2rk/3n1p1p/4qPpQ/4p1P1/3pP1R1/2p4P/6NK/5R2 b - - 1 40	d4d3 h6h7 h8h7 g4h4	1508			
lZOgr	k7/p1r5/K4p2/2p1b3/7R/6p1/P7/8 b - - 1 64	g3g2 h4h8 c7c8 h8c8 e5b8 c8g8	1509			
ajtXe	4r1k1/p5pp/1pQp1q2/3P4/8/4P3/PPP3PP/4RK2 w - - 1 24	f1g1 e8f8 h2h3 f6f2 g1h2 f2e1	1498			
qi3pI	2Rr3k/6pp/p3Qpq1/1p2p3/4P2P/3r4/P5P1/5R1K b - - 8 32	g6g3 e6e8 d8e8 c8e8	1545			
IVTQ6	2r3k1/p4q1p/bp4p1/6B1/3Q2P1/2P4P/1P3P2/2KB4 b - - 0 35	f7g7 d1b3 a6c4 b3c4 c8c4 d4c4	1514			
Na4Yq	8/p2R4/1p5k/5pN1/5P1P/P3r3/2r5/5K2 b - - 3 37	e3a3 d7h7 h6g6 h4h5 g6f6 h7f7	1536			
YziKA	2kr4/2q5/5p2/1Q6/1n1Pr2P/1P4pN/6P1/5RK1 b - - 0 31	b4c6 b5f5 c8b7 f5e4	1470			
MD63e	r1b2rk1/pp3ppp/2n1p3/8/8/Q1P2N2/PPq1BPPP/3RK2R b K - 1 14	e6e5 e2d3 c2d3 d1d3	1493			
585mC	r2q1rk1/5p1p/1n4R1/8/5NR1/3P4/Bp4PP/3Q2K1 b - - 0 23	h7g6 g4g6 g8h7 d1h5	1517			
yboni	5rk1/Qpp2ppp/8/3qr3/4Rn2/8/PP3PPP/4RK2 w - - 0 28	e4e5 d5g2	1461			
xbV5k	6k1/8/5bK1/5P2/8/8/p7/2R5 b - - 1 52	a2a1q c1c8 f6d8 c8d8	1457			
ALaWL	rnbqkbnr/ppp1pppp/8/8/5P2/3B4/PPP3PP/RNBQK1NR b KQkq - 0 4	c8g4 d1g4	1544			
4tXQm	8/p4pkp/Q5p1/2p5/7b/1BP2P2/Pq3PKP/8 w - - 0 36	a6c4 b2f2 g2h3 f2f3	1509			
h81h9	2rr2k1/1b4p1/pp2P2P/2pPq3/2P5/3QP3/P5P1/2R2RK1 b - - 0 26	e5e6 h6h7 g8h8 f1f8 d8f8 d5e6	1498			
2yttf	5rk1/1pq3p1/p1n4p/2b1p3/P1P1Qp2/1PB2N2/5PPP/3R3K b - - 0 25	f8e8 e4d5 c7f7 d5c5	1492			
s0Upp	r1br2k1/ppp1qpp1/2n1pn1p/8/2BP3B/P1P3N1/2PQ1PPP/R4RK1 b - - 4 14	c6e5 h4f6 e5c4 f6e7 c4d2 e7d8	1530			
hKMBg	7k/1R5p/4rp1B/6p1/Kp2p1P1/2r1Nn2/8/8 b - - 5 54	c3e3 b7b8 e6e8 b8e8	1478			
fbw2y	r3r1k1/5ppp/p1p5/2P5/q1pP4/7P/P2Q1PP1/R1R3K1 w - - 0 23	d2c2 e8e1 g1h2 a4c2 c1c2 e1a1	1462			
znEH4	r4rk1/1b3p1p/p2p2p1/1qpn4/7Q/PP3N2/2B2PPP/3RR1K1 w - - 0 21	d1d5 b7d5 f3g5 h7h5	1526			
a2VK4	4r1k1/6pp/8/8/pq6/5P1P/P4QP1/2R3K1 w - - 0 38	f2c5 e8e1 c1e1 b4c5	1456			
NYAJK	rn3rk1/ppp1q1pp/3b1np1/3p2B1/3P2P1/2N2N1P/PPP1QP2/R3K2R w KQ - 4 12	e1c1 e7e2	1472			
AjoIH	r2q3r/p4kpp/2pbpnp1/3N2B1/3P2P1/7P/PPP1QP2/R3K2R w KQ - 0 15	d5e3 d8a5 c2c3 a5g5	1502			
OYpP2	1r4k1/2pq1p2/2p1b2p/2B1P1p1/1P3n2/3B1P2/2P3PP/2QR2K1 w - - 1 23	d3h7 g8h7 d1d7 f4e2 g1f2 e2c1	1517			
TDC3S	8/P2k4/8/3p2K1/2pP4/r5r1/8/R3R3 w - - 1 48	g5f6 a3f3 f6e5 g3g5	1511			
slhEd	2rk1b1r/pQp2p2/3p4/1N1P2pp/4PBn1/7P/PPP2qP1/R3R2K b - - 0 18	g5f4 b5a7 f2g3 b7c8	1501			
jCLHP	1r3br1/p4k1p/3p1p2/4p3/4P3/1P1n1PP1/P6P/R1B1K1NR w KQ - 1 17	e1d2 d3f2 d2e2 f2h1	1501			
PqiLX	8/1p6/1Pb5/1kP1K3/8/8/5Bp1/8 w - - 9 65	e5d6 b5c4 d6e5 c4d3	1490			
LmbqU	7Q/1p2kp2/4p1r1/3pP3/1bnP4/5NPP/1q2NPK1/2R5 w - - 5 28	e2f4 c4e3 g2h1 b2c1	1521			
D7z9G	r1b2rk1/pp3pB1/3p4/2p1np1Q/8/2qP1N2/P5PP/1R3RK1 b - - 0 20	e5f3 f1f3 c3g7 f3g3	1510			
RR2hg	2Q4b/5p1k/1B1Np1p1/4P1P1/5P2/7p/r6r/2R3K1 w - - 1 46	d6f7 a2g2 g1f1 h2h1 b6g1 h1g1	1467			
N6RET	r1b2rk1/1pp3p1/p1n1pq1p/5p2/8/2NB2Q1/PPP3PP/3R1R1K b - - 3 18	c6e5 c3e4 f5e4 f1f6	1507			
URrxu	r4rk1/pppnnpp1/1b2P2p/6q1/2N5/2P3B1/PP2Q1PP/R4R1K b - - 0 17	f7e6 e2e6 g8h7 e6d7	1513			
cE0Xo	rn2r1k1/pp2ppbp/2p3p1/8/3P2bP/BPQ1P1N1/P4Pq1/R3KB1R b KQ - 4 15	g2f3 f1e2 f3d5 e2g4	1476			
upGXw	5r2/5pk1/3q1n1p/2p1PQp1/1pP5/7P/PPB3P1/6K1 b - - 0 35	d6e6 e5f6 e6f6 f5h7	1469			
ho2qR	r1b2qk1/pp2n1b1/3p2pp/2nPP3/4p3/Q1N3PN/PP5P/R1B2BK1 w - - 1 19	e5d6 g7d4 c1e3 d4e3	1502			
XXFFX	4r2k/pp3p1p/5r2/3P4/2P2P2/qP2P1P1/5KQ1/4R2R w - - 0 32	e1b1 a3a2 f2f3 e8e3 f3e3 a2g2	1500			
u6l18	4r1k1/p4ppp/1p6/3n4/3B2r1/P3P3/7P/1R1KN2R w - - 0 27	b1b5 g4d4 e3d4 d5c3 d1d2 c3b5	1489			
irqUq	r3rn2/1p2bQR1/p1k1p3/3pPp2/1PpP1P2/2P1B3/P1q1N2P/R6K w - - 9 31	f7h5 c2e4 g7g2 e4e3	1462			
aer4p	7r/ppN1kp2/2n5/5p2/1P1P4/P5pP/4PqB1/R2Q3K w - - 3 22	d1f1 h8h3 g2h3 f2h2	1485			
DShih	3r1k2/1pp2ppp/p7/7P/2N1N3/PnPB1n2/1P3P2/1K1R4 w - - 3 26	b1a2 d8d3 d1d3 b3c1 a2b1 c1d3	1489			
Na3Om	4q3/5p2/3p1k2/PP2p3/K1Q5/7r/2P5/8 b - - 0 59	d6d5 c4f1 f6g5 f1h3	1534			
e2x1t	r7/1ppnk1p1/p3p2p/4p3/1b2r3/5NNP/PPP2PP1/2KR2R1 b - - 1 19	e4c4 d1d7 e7d7 f3e5	1483			
iV0yK	6r1/3k1p1p/4p3/8/8/1PB5/P1r1bPPP/R3R1K1 w - - 3 30	a2a4 e2f3 g2g3 c2c3	1498			
55zM2	1n3rk1/1Q1b1ppp/3b4/1pp1p3/2q5/4PN2/PB1P1PPP/R3K2R w KQ - 1 14	b2e5 d7c6 b7c6 b8c6	1496			
zDFoH	5k2/1p1b1p2/2pp3r/1P3Pn1/2PPP1B1/r1N3Pp/2R4K/4R3 w - - 11 34	e4e5 d7f5 g4f5 g5f3 h2h1 f3e1	1539			
xxs1L	1Q6/1R4kp/6p1/2p1q3/3b4/7P/r3rPP1/5R1K b - - 2 35	g7h6 b8f8 e5g7 b7g7	1490			
RK9Ij	8/3k1p2/PP6/3p4/3N1r2/3n2K1/3P2P1/8 b - - 2 35	f4d4 a6a7 d7c6 a7a8q	1499			
rqUJq	3r1k2/1p5p/pb2pp1q/3p4/1P3P2/P5R1/2B3PP/5Q1K b - - 0 31	f8e7 g3h3 h6h3 g2h3	1496			
sHOSz	2r1r1k1/pp3pp1/8/3Pb1N1/Pqp3b1/4p3/1PQ1N3/4RR1K b - - 1 29	b4d6 c2h7 g8f8 f1f7	1460			
TjxR4	2r2r1k/pp2q1p1/2n4p/7n/3P4/2P3Q1/PP1N2PP/R1B2RK1 w - - 2 20	f1f8 c8f8 d2f3 h5g3	1458			
M5rel	8/7p/1q1pQ1pk/p2PpN2/4P3/8/1p4PK/8 b - - 1 56	h6g5 e6e7 g5f4 e7h4	1460			
WQtrr	r3kb1r/pp1b1pp1/2n1pn1p/2q4P/2B5/1Q2BP2/PP2N1P1/RN2K2R b KQkq - 1 12	c6a5 e3c5 a5b3 c5f8 b3a1 f8g7	1518			
RogPf	N6r/pp1bk1pp/4p3/5p2/3Nn3/2b5/P1P1KPPP/1R1R4 w - - 2 18	a8c7 c3d4 d1d4 e4c3 e2d3 c3b1	1471			
6XcJv	2rn3r/p3Qpk1/1p2N1pp/4P3/3q2P1/8/PP3R1P/5RK1 b - - 0 29	d8e6 e7f7	1455			
xqNtg	r4rk1/4ppb1/p1p1q1p1/5b1p/2pP4/P3PQPP/1P1B1PBK/R4R2 b - - 1 17	a8c8 e3e4 e6e4 f3e4 f5e4 g2e4	1460			
6MsE1	b5rr/p1kp4/Pp6/3P3p/1RP5/5QPp/2q4N/3R3K b - - 0 31	g8f8 d5d6 c7b8 b4b6 a7b6 a6a7 b8a7 d1a1 c2a4 a1a4 a7b8 a4a8	1518			
HVWyA	r6r/1bq1kppp/3bpn2/1Bp1B3/Pp1P4/1P6/N1Q2PPP/R3R1K1 b - - 0 18	c5d4 c2c7 d6c7 e5c7	1463			
zaPzT	r5k1/1b1n1qPp/p2p4/b6P/1n2PP2/2N1B3/PP1QB3/1K1R3R w - - 1 24	a2a3 b7e4 b1a1 b4c2 d2c2 e4c2	1508			
bcucr	r1bqk2r/ppp2ppp/2n5/3pP3/2BPn3/5N2/PP1N1PPP/R2QK2R w KQkq - 1 10	e1g1 e4d2 d1d2 d5c4	1488			
FVKS0	rn5r/ppp1kqp1/5n1p/4pQ2/1b2P3/P1N1B3/1PP2PPP/3R1RK1 b - - 0 16	b4c3 e3c5 e7e8 f5c8	1519			
5dyUl	6rk/p5rp/1pq1p3/2p1Rp1Q/2Pp1P2/3P2N1/PP5P/R5K1 w - - 3 25	a1e1 g7g3 h2g3 g8g3 g1f1 c6g2	1500			
eYYmv	r1bqk2r/ppp2ppp/4pn2/3P4/3bP3/2N3P1/PP1P1PBP/R1BQK2R b KQkq - 0 8	e6d5 d1a4 d8d7 a4d4	1503			
tRwjl	rn3rk1/pp3pbp/2pp1n2/1P4pq/2PPp2N/4P1PP/P2BNPK1/R2Q1R2 w - - 1 16	h4f5 h5f3 g2h2 f3f5	1465			
